"";"Var1";"Freq"
"715";"Chrysomphalina";1
"716";"Chrysothrix";1
"717";"Cicinnobella";1
"718";"Ciliochorella";1
"719";"Cladonia";1
"720";"Cladosporiella";1
"721";"Clarohilum";1
"722";"Clasterosporium";1
"723";"Clathroconium";1
"724";"Clathroporina";1
"725";"Clavaria";1
"726";"Clavariopsis";1
"727";"Claviradulomyces";1
"728";"Clavulina";1
"729";"Clypeolella";1
"730";"Clypeolum";1
"731";"Clypeosphaerella";1
"732";"Coccomyces";1
"733";"Coccospora";1
"734";"Coccostroma";1
"735";"Colletogloeum";1
"736";"Colospora";1
"737";"Compsosporiella";1
"738";"Coniocarpon";1
"739";"Coniothyriella";1
"740";"Conoideocrella";1
"741";"Constricta";1
"742";"Cordierites";1
"743";"Corticium";1
"744";"Coryneum";1
"745";"Craspedodidymum";1
"746";"Cratiria";1
"747";"Cristelloporia";1
"748";"Cronartium";1
"749";"Cryptococcus";1
"750";"Cryptomarasmius";1
"751";"Cryptotrichosporon";1
"752";"Cryptovalsa";1
"753";"Cyberlindnera";1
"754";"Cyclographina";1
"755";"Cylindrosporium";1
"756";"Cyphella";1
"757";"Cystobasidium";1
"758";"Cystoderma";1
"759";"Cystolepiota";1
"760";"Cytosphaera";1
"761";"Cytospora";1
"762";"Dacryopinax";1
"763";"Daedalea";1
"764";"Daldinia";1
"765";"Daloala";1
"766";"Deightonia";1
"767";"Delortia";1
"768";"Dendryphiosphaera";1
"769";"Desmidiospora";1
"770";"Diacanthodes";1
"771";"Diatrype";1
"772";"Dichomitus";1
"773";"Dictydiaethalium";1
"774";"Dictydium";1
"775";"Dictyoasterina";1
"776";"Dictyochaeta";1
"777";"Dictyocheirospora";1
"778";"Dictyonella";1
"779";"Dictyonia";1
"780";"Dictyophora";1
"781";"Dictyosporium";1
"782";"Diedickea";1
"783";"Dietelia";1
"784";"Dimeriella";1
"785";"Dimerosporiella";1
"786";"Dimidiographa";1
"787";"Diplocarpon";1
"788";"Diplotomma";1
"789";"Dirina";1
"790";"Discella";1
"791";"Disciseda";1
"792";"Distocercospora";1
"793";"Distocercosporaster";1
"794";"Distomycovellosiella";1
"795";"Distoseptispora";1
"796";"Dolichousnea";1
"797";"Doliomyces";1
"798";"Dominikia";1
"799";"Donkioporia";1
"800";"Dothidella";1
"801";"Dussiella";1
"802";"Dyplolabia";1
"803";"Earliella";1
"804";"Eballistra";1
"805";"Echidnodes";1
"806";"Echinochaete";1
"807";"Echinostelium";1
"808";"Effetia";1
"809";"Eichleriella";1
"810";"Elateraecium";1
"811";"Ellisiopsis";1
"812";"Ellismarsporium";1
"813";"Enarthromyces";1
"814";"Endophylloides";1
"815";"Enerthenema";1
"816";"Enerthidium";1
"817";"Englerulella";1
"818";"Engyodontium";1
"819";"Enteridium";1
"820";"Entomophaga";1
"821";"Entosordaria";1
"822";"Entrophospora";1
"823";"Entyloma";1
"824";"Ephelis";1
"825";"Epithele";1
"826";"Eremothecella";1
"827";"Eremothecium";1
"828";"Eriocercospora";1
"829";"Erythricium";1
"830";"Eudarluca";1
"831";"Eugeniella";1
"832";"Eumitria";1
"833";"Exidia";1
"834";"Falciformispora";1
"835";"Fasciatispora";1
"836";"Fenestella";1
"837";"Fibroporia";1
"838";"Flagellospora";1
"839";"Flavodon";1
"840";"Flavoparmelia";1
"841";"Fomitiporella";1
"842";"Fomitiporia";1
"843";"Fomitopsis";1
"844";"Fulvia";1
"845";"Fulvifomes";1
"846";"Fuscutata";1
"847";"Fusicladium";1
"848";"Fusicolla";1
"849";"Gaeumannomyces";1
