;status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;country;only year;first_author
6753;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI181295;Nigeria;1974;McDonald, D.
6754;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Lycopersicon esculentum;Solanaceae;IMI180262;Ghana;1973;Ofoso-Asiedu, A.
6755;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI161970;Nigeria;;Oyeniran, J.O.
6756;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI144123;Nigeria;;Oyeniran, J.O.
6757;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Sorghum;Gramineae;IMI178747;Nigeria;;McDonald, D.
6758;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI181277a;Nigeria;1974;McDonald, D.
6759;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium solani;(Mart.) Sacc.;;;Associated organism: Cola nitida;Sterculiaceae;IMI181277b;Nigeria;1974;McDonald, D.
6760;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI157444;Nigeria;1971;Lamey, A.
6761;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Sorghum;Gramineae;IMI181264;Nigeria;1974;McDonald, D.
6762;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI110807;Nigeria;;Okafor, N.
6763;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI148071;Nigeria;;Oyeniran, J.O.
6764;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI157443;Nigeria;1971;Lamey, A.
6765;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI181276;Nigeria;1974;McDonald, D.
6766;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI181275;Nigeria;1974;McDonald, D.
6767;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI148062;Nigeria;;Oyeniran, J.O.
6768;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Cola nitida;Sterculiaceae;IMI181270;Nigeria;1974;McDonald, D.
6769;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Substratum: seed. Associated organism: Zea mays;Gramineae;IMI124129;Nigeria;;Broadbent, J.A.
6770;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Substratum: stamen. Associated organism: Zea mays;Gramineae;IMI63602;Nigeria;1956;Cammack, R.H.
6771;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;;;IMI279261;Nigeria;1983;Osunlaja, S.O.
6772;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;;;IMI279259;Nigeria;1983;Osunlaja, S.O.
6773;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Zea mays;Gramineae;IMI148069;Nigeria;;Oyeniran, J.O.
6774;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;;;IMI290624;Nigeria;1984;Ngala
6775;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium moniliforme;J. Sheld.;;;Associated organism: Sorghum;Gramineae;IMI187881;Togo;1974;Steiner, K.G.
