ID;gbifID;phylum;species;authors;country;recordedBy;basisOfRecord;identifiedBy;typeStatus
8835;100229121;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Nigeria;;PRESERVED_SPECIMEN;;
8834;100229142;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Nigeria;;PRESERVED_SPECIMEN;;
8832;100229219;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Nigeria;;PRESERVED_SPECIMEN;;
8831;100229237;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Nigeria;;PRESERVED_SPECIMEN;;
8830;100229404;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Gambia;;PRESERVED_SPECIMEN;;
8827;100229865;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Nigeria;;PRESERVED_SPECIMEN;;
8822;100231120;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Nigeria;;PRESERVED_SPECIMEN;;
8821;100231156;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Nigeria;;PRESERVED_SPECIMEN;;
8814;100231398;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Sierra Leone;;PRESERVED_SPECIMEN;;
8813;100231546;Ascomycota;Colletotrichum capsici;(Syd.) E.J.Butler & Bisby;Guinea;;PRESERVED_SPECIMEN;;
8812;100231799;Ascomycota;Colletotrichum dematium;(Pers.) Grove;Nigeria;;PRESERVED_SPECIMEN;;
8811;100231879;Ascomycota;Colletotrichum coccodes;(Wallr.) S.Hughes;Nigeria;;PRESERVED_SPECIMEN;;
8810;100231888;Ascomycota;Colletotrichum gossypii;Southw.;Nigeria;;PRESERVED_SPECIMEN;;
8809;100232001;Ascomycota;Colletotrichum corchori;Ikata & Tanaka;Nigeria;;PRESERVED_SPECIMEN;;
8808;100232462;Ascomycota;Colletotrichum dematium;(Pers.) Grove;Nigeria;;PRESERVED_SPECIMEN;;
8807;100233139;Ascomycota;Colletotrichum graminicola;(Ces.) G.W.Wilson,;Sierra Leone;;PRESERVED_SPECIMEN;;
8806;100233142;Ascomycota;Colletotrichum graminicola;(Ces.) G.W.Wilson,;Sierra Leone;;PRESERVED_SPECIMEN;;
8805;100233172;Ascomycota;Colletotrichum graminicola;(Ces.) G.W.Wilson,;Guinea;;PRESERVED_SPECIMEN;;
8804;100233175;Ascomycota;Colletotrichum graminicola;(Ces.) G.W.Wilson,;Guinea;;PRESERVED_SPECIMEN;;
8803;100233335;Ascomycota;Colletotrichum graminicola;(Ces.) G.W.Wilson,;Nigeria;;PRESERVED_SPECIMEN;;
8802;100233450;Ascomycota;Colletotrichum graminicola;(Ces.) G.W.Wilson,;Nigeria;;PRESERVED_SPECIMEN;;
8801;100233491;Ascomycota;Colletotrichum hibisci;Pollacci;Nigeria;;PRESERVED_SPECIMEN;;
8800;100233518;Ascomycota;Colletotrichum rosarum;Av.-Saccá;Nigeria;;PRESERVED_SPECIMEN;;
8799;100233534;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Nigeria;;PRESERVED_SPECIMEN;;
8798;100233543;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Nigeria;;PRESERVED_SPECIMEN;;
8797;100233570;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Nigeria;;PRESERVED_SPECIMEN;;
8796;100233621;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Nigeria;;PRESERVED_SPECIMEN;;
8795;100233622;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Nigeria;;PRESERVED_SPECIMEN;;
8794;100233624;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Nigeria;;PRESERVED_SPECIMEN;;
8793;100233626;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Nigeria;;PRESERVED_SPECIMEN;;
8792;100233796;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Liberia;;PRESERVED_SPECIMEN;;
8791;100233804;Ascomycota;Gloeosporium orbiculare;(Pass.) Ellis & Halst.;Nigeria;;PRESERVED_SPECIMEN;;
8790;100233806;Ascomycota;Gloeosporium orbiculare;(Pass.) Ellis & Halst.;Nigeria;;PRESERVED_SPECIMEN;;
8789;100233923;Ascomycota;Colletotrichum lindemuthianum;(Sacc. & Magnus) Briosi & Cavara;Sierra Leone;;PRESERVED_SPECIMEN;;
8788;100233964;Ascomycota;Colletotrichum truncatum;(Schwein.) Andrus & W.D.Moore;Gambia;;PRESERVED_SPECIMEN;;
8787;100234090;Ascomycota;Colletotrichum truncatum;(Schwein.) Andrus & W.D.Moore;Nigeria;;PRESERVED_SPECIMEN;;
8786;100234091;Ascomycota;Colletotrichum truncatum;(Schwein.) Andrus & W.D.Moore;Nigeria;;PRESERVED_SPECIMEN;;
8785;100234093;Ascomycota;Colletotrichum truncatum;(Schwein.) Andrus & W.D.Moore;Nigeria;;PRESERVED_SPECIMEN;;
8784;100234094;Ascomycota;Colletotrichum truncatum;(Schwein.) Andrus & W.D.Moore;Nigeria;;PRESERVED_SPECIMEN;;
